//char	type	Width	Filename
 	item	3	FontItem_20.png
#	item	7	FontItem_23.png
'	item	3	FontItem_27.png
+	item	8	FontItem_2B.png
,	item	3	FontItem_2C.png
-	item	7	FontItem_2D.png
.	item	3	FontItem_2E.png
/	item	7	FontItem_2F.png
0	item	7	FontItem_30.png
1	item	4	FontItem_31.png
2	item	7	FontItem_32.png
3	item	7	FontItem_33.png
4	item	7	FontItem_34.png
5	item	7	FontItem_35.png
6	item	7	FontItem_36.png
7	item	7	FontItem_37.png
8	item	7	FontItem_38.png
9	item	7	FontItem_39.png
:	item	3	FontItem_3A.png
=	item	7	FontItem_3D.png
>	item	5	FontItem_3E.png
?	item	7	FontItem_3F.png
@	item	8	FontItem_40.png
A	item	7	FontItem_41.png
B	item	7	FontItem_42.png
C	item	7	FontItem_43.png
D	item	7	FontItem_44.png
E	item	7	FontItem_45.png
F	item	7	FontItem_46.png
G	item	7	FontItem_47.png
H	item	7	FontItem_48.png
I	item	6	FontItem_49.png
J	item	7	FontItem_4A.png
K	item	7	FontItem_4B.png
L	item	7	FontItem_4C.png
M	item	8	FontItem_4D.png
N	item	7	FontItem_4E.png
O	item	7	FontItem_4F.png
P	item	7	FontItem_50.png
Q	item	7	FontItem_51.png
R	item	7	FontItem_52.png
S	item	7	FontItem_53.png
T	item	8	FontItem_54.png
U	item	7	FontItem_55.png
V	item	8	FontItem_56.png
W	item	8	FontItem_57.png
X	item	8	FontItem_58.png
Y	item	8	FontItem_59.png
Z	item	7	FontItem_5A.png
^	item	6	FontItem_5E.png
_	item	7	FontItem_5F.png
a	item	7	FontItem_61.png
b	item	7	FontItem_62.png
c	item	7	FontItem_63.png
d	item	7	FontItem_64.png
e	item	7	FontItem_65.png
f	item	6	FontItem_66.png
g	item	7	FontItem_67.png
h	item	7	FontItem_68.png
i	item	2	FontItem_69.png
j	item	7	FontItem_6A.png
k	item	6	FontItem_6B.png
l	item	3	FontItem_6C.png
m	item	8	FontItem_6D.png
n	item	7	FontItem_6E.png
o	item	7	FontItem_6F.png
p	item	7	FontItem_70.png
q	item	7	FontItem_71.png
r	item	7	FontItem_72.png
s	item	7	FontItem_73.png
t	item	7	FontItem_74.png
u	item	7	FontItem_75.png
v	item	7	FontItem_76.png
w	item	8	FontItem_77.png
x	item	7	FontItem_78.png
y	item	7	FontItem_79.png
z	item	7	FontItem_7A.png
 	text	3	FontText_20.png
#	text	7	FontText_23.png
'	text	3	FontText_27.png
+	text	8	FontText_2B.png
,	text	3	FontText_2C.png
-	text	7	FontText_2D.png
.	text	3	FontText_2E.png
/	text	7	FontText_2F.png
0	text	7	FontText_30.png
1	text	4	FontText_31.png
2	text	7	FontText_32.png
3	text	7	FontText_33.png
4	text	7	FontText_34.png
5	text	7	FontText_35.png
6	text	7	FontText_36.png
7	text	7	FontText_37.png
8	text	7	FontText_38.png
9	text	7	FontText_39.png
:	text	3	FontText_3A.png
=	text	7	FontText_3D.png
>	text	5	FontText_3E.png
?	text	7	FontText_3F.png
@	text	8	FontText_40.png
A	text	7	FontText_41.png
B	text	7	FontText_42.png
C	text	7	FontText_43.png
D	text	7	FontText_44.png
E	text	7	FontText_45.png
F	text	7	FontText_46.png
G	text	7	FontText_47.png
H	text	7	FontText_48.png
I	text	6	FontText_49.png
J	text	7	FontText_4A.png
K	text	7	FontText_4B.png
L	text	7	FontText_4C.png
M	text	8	FontText_4D.png
N	text	7	FontText_4E.png
O	text	7	FontText_4F.png
P	text	7	FontText_50.png
Q	text	7	FontText_51.png
R	text	7	FontText_52.png
S	text	7	FontText_53.png
T	text	8	FontText_54.png
U	text	7	FontText_55.png
V	text	8	FontText_56.png
W	text	8	FontText_57.png
X	text	8	FontText_58.png
Y	text	8	FontText_59.png
Z	text	7	FontText_5A.png
^	text	6	FontText_5E.png
_	text	7	FontText_5F.png
a	text	7	FontText_61.png
b	text	7	FontText_62.png
c	text	7	FontText_63.png
d	text	7	FontText_64.png
e	text	7	FontText_65.png
f	text	6	FontText_66.png
g	text	7	FontText_67.png
h	text	7	FontText_68.png
i	text	2	FontText_69.png
j	text	7	FontText_6A.png
k	text	6	FontText_6B.png
l	text	3	FontText_6C.png
m	text	8	FontText_6D.png
n	text	7	FontText_6E.png
o	text	7	FontText_6F.png
p	text	7	FontText_70.png
q	text	7	FontText_71.png
r	text	7	FontText_72.png
s	text	7	FontText_73.png
t	text	7	FontText_74.png
u	text	7	FontText_75.png
v	text	7	FontText_76.png
w	text	8	FontText_77.png
x	text	7	FontText_78.png
y	text	7	FontText_79.png
z	text	7	FontText_7A.png
