//char	type	Width	Filename
 	item	4	FontItem_20.png
A	item	8	FontItem_41.png
B	item	7	FontItem_42.png
C	item	7	FontItem_43.png
D	item	7	FontItem_44.png
E	item	7	FontItem_45.png
F	item	7	FontItem_46.png
G	item	7	FontItem_47.png
H	item	7	FontItem_48.png
I	item	4	FontItem_49.png
J	item	7	FontItem_4A.png
K	item	7	FontItem_4B.png
L	item	7	FontItem_4C.png
M	item	8	FontItem_4D.png
N	item	7	FontItem_4E.png
O	item	7	FontItem_4F.png
P	item	7	FontItem_50.png
Q	item	7	FontItem_51.png
R	item	7	FontItem_52.png
S	item	7	FontItem_53.png
T	item	8	FontItem_54.png
U	item	7	FontItem_55.png
V	item	8	FontItem_56.png
W	item	8	FontItem_57.png
X	item	7	FontItem_58.png
Y	item	8	FontItem_59.png
Z	item	7	FontItem_5A.png
a	item	7	FontItem_61.png
b	item	7	FontItem_62.png
c	item	7	FontItem_63.png
d	item	7	FontItem_64.png
e	item	7	FontItem_65.png
f	item	7	FontItem_66.png
g	item	7	FontItem_67.png
h	item	7	FontItem_68.png
i	item	2	FontItem_69.png
j	item	5	FontItem_6A.png
k	item	7	FontItem_6B.png
l	item	2	FontItem_6C.png
m	item	8	FontItem_6D.png
n	item	7	FontItem_6E.png
o	item	7	FontItem_6F.png
p	item	7	FontItem_70.png
q	item	7	FontItem_71.png
r	item	7	FontItem_72.png
s	item	7	FontItem_73.png
t	item	7	FontItem_74.png
u	item	7	FontItem_75.png
v	item	7	FontItem_76.png
w	item	8	FontItem_77.png
x	item	7	FontItem_78.png
y	item	7	FontItem_79.png
z	item	6	FontItem_7A.png
0	item	6	FontItem_30.png
1	item	4	FontItem_31.png
2	item	6	FontItem_32.png
3	item	6	FontItem_33.png
4	item	6	FontItem_34.png
5	item	6	FontItem_35.png
6	item	6	FontItem_36.png
7	item	6	FontItem_37.png
8	item	6	FontItem_38.png
9	item	6	FontItem_39.png
.	item	3	FontItem_2E.png
,	item	3	FontItem_2C.png
"	item	6	FontItem_22.png
'	item	3	FontItem_27.png
`	item	3	FontItem_60.png
?	item	7	FontItem_3F.png
!	item	5	FontItem_21.png
(	item	4	FontItem_28.png
)	item	4	FontItem_29.png
-	item	7	FontItem_2D.png
:	item	3	FontItem_3A.png
;	item	3	FontItem_3B.png
Á	item	8	FontItem_C1.png
À	item	8	FontItem_C0.png
Â	item	8	FontItem_C2.png
Ä	item	8	FontItem_C4.png
Ç	item	7	FontItem_C7.png
É	item	7	FontItem_C9.png
È	item	7	FontItem_C8.png
Ê	item	7	FontItem_CA.png
Ë	item	7	FontItem_CB.png
Í	item	4	FontItem_CD.png
Ì	item	4	FontItem_CC.png
Î	item	6	FontItem_CE.png
Ï	item	4	FontItem_CF.png
Ñ	item	7	FontItem_D1.png
Ó	item	7	FontItem_D3.png
Ò	item	7	FontItem_D2.png
Ô	item	7	FontItem_D4.png
Ö	item	7	FontItem_D6.png
Ú	item	7	FontItem_DA.png
Ù	item	7	FontItem_D9.png
Û	item	7	FontItem_DB.png
Ü	item	7	FontItem_DC.png
Æ	item	7	FontItem_C6.png
á	item	7	FontItem_E1.png
à	item	7	FontItem_E0.png
â	item	7	FontItem_E2.png
ä	item	7	FontItem_E4.png
ç	item	7	FontItem_E7.png
é	item	7	FontItem_E9.png
è	item	7	FontItem_E8.png
ê	item	7	FontItem_EA.png
ë	item	7	FontItem_EB.png
í	item	3	FontItem_ED.png
ò	item	7	FontItem_F2.png
ó	item	7	FontItem_F3.png
ô	item	7	FontItem_F4.png
ö	item	7	FontItem_F6.png
ù	item	7	FontItem_F9.png
ú	item	7	FontItem_FA.png
û	item	7	FontItem_FB.png
ü	item	7	FontItem_FC.png
ý	item	7	FontItem_FD.png
ÿ	item	7	FontItem_FF.png
 	text	4	FontText_20.png
A	text	8	FontText_41.png
B	text	7	FontText_42.png
C	text	7	FontText_43.png
D	text	7	FontText_44.png
E	text	7	FontText_45.png
F	text	7	FontText_46.png
G	text	7	FontText_47.png
H	text	7	FontText_48.png
I	text	4	FontText_49.png
J	text	7	FontText_4A.png
K	text	7	FontText_4B.png
L	text	7	FontText_4C.png
M	text	8	FontText_4D.png
N	text	7	FontText_4E.png
O	text	7	FontText_4F.png
P	text	7	FontText_50.png
Q	text	7	FontText_51.png
R	text	7	FontText_52.png
S	text	7	FontText_53.png
T	text	8	FontText_54.png
U	text	7	FontText_55.png
V	text	8	FontText_56.png
W	text	8	FontText_57.png
X	text	7	FontText_58.png
Y	text	8	FontText_59.png
Z	text	7	FontText_5A.png
a	text	7	FontText_61.png
b	text	7	FontText_62.png
c	text	7	FontText_63.png
d	text	7	FontText_64.png
e	text	7	FontText_65.png
f	text	7	FontText_66.png
g	text	7	FontText_67.png
h	text	7	FontText_68.png
i	text	2	FontText_69.png
j	text	5	FontText_6A.png
k	text	7	FontText_6B.png
l	text	2	FontText_6C.png
m	text	8	FontText_6D.png
n	text	7	FontText_6E.png
o	text	7	FontText_6F.png
p	text	7	FontText_70.png
q	text	7	FontText_71.png
r	text	7	FontText_72.png
s	text	7	FontText_73.png
t	text	7	FontText_74.png
u	text	7	FontText_75.png
v	text	7	FontText_76.png
w	text	8	FontText_77.png
x	text	7	FontText_78.png
y	text	7	FontText_79.png
z	text	6	FontText_7A.png
0	text	6	FontText_30.png
1	text	4	FontText_31.png
2	text	6	FontText_32.png
3	text	6	FontText_33.png
4	text	6	FontText_34.png
5	text	6	FontText_35.png
6	text	6	FontText_36.png
7	text	6	FontText_37.png
8	text	6	FontText_38.png
9	text	6	FontText_39.png
.	text	3	FontText_2E.png
,	text	3	FontText_2C.png
"	text	6	FontText_22.png
'	text	3	FontText_27.png
`	text	3	FontText_60.png
?	text	7	FontText_3F.png
!	text	5	FontText_21.png
(	text	4	FontText_28.png
)	text	4	FontText_29.png
-	text	7	FontText_2D.png
:	text	3	FontText_3A.png
;	text	3	FontText_3B.png
Á	text	8	FontText_C1.png
À	text	8	FontText_C0.png
Â	text	8	FontText_C2.png
Ä	text	8	FontText_C4.png
Ç	text	7	FontText_C7.png
É	text	7	FontText_C9.png
È	text	7	FontText_C8.png
Ê	text	7	FontText_CA.png
Ë	text	7	FontText_CB.png
Í	text	4	FontText_CD.png
Ì	text	4	FontText_CC.png
Î	text	6	FontText_CE.png
Ï	text	4	FontText_CF.png
Ñ	text	7	FontText_D1.png
Ó	text	7	FontText_D3.png
Ò	text	7	FontText_D2.png
Ô	text	7	FontText_D4.png
Ö	text	7	FontText_D6.png
Ú	text	7	FontText_DA.png
Ù	text	7	FontText_D9.png
Û	text	7	FontText_DB.png
Ü	text	7	FontText_DC.png
Æ	text	7	FontText_C6.png
á	text	7	FontText_E1.png
à	text	7	FontText_E0.png
â	text	7	FontText_E2.png
ä	text	7	FontText_E4.png
ç	text	7	FontText_E7.png
é	text	7	FontText_E9.png
è	text	7	FontText_E8.png
ê	text	7	FontText_EA.png
ë	text	7	FontText_EB.png
í	text	3	FontText_ED.png
ò	text	7	FontText_F2.png
ó	text	7	FontText_F3.png
ô	text	7	FontText_F4.png
ö	text	7	FontText_F6.png
ù	text	7	FontText_F9.png
ú	text	7	FontText_FA.png
û	text	7	FontText_FB.png
ü	text	7	FontText_FC.png
ý	text	7	FontText_FD.png
ÿ	text	7	FontText_FF.png
