//char	type	Width	Filename
 	item	3	FontItem_20.png
!	item	2	FontItem_21.png
,	item	3	FontItem_2C.png
-	item	6	FontItem_2D.png
.	item	3	FontItem_2E.png
1	item	4	FontItem_31.png
:	item	3	FontItem_3A.png
;	item	3	FontItem_3B.png
?	item	6	FontItem_3F.png
A	item	8	FontItem_41.png
B	item	7	FontItem_42.png
C	item	7	FontItem_43.png
D	item	7	FontItem_44.png
E	item	6	FontItem_45.png
F	item	6	FontItem_46.png
G	item	7	FontItem_47.png
H	item	6	FontItem_48.png
I	item	4	FontItem_49.png
J	item	6	FontItem_4A.png
K	item	8	FontItem_4B.png
L	item	6	FontItem_4C.png
M	item	8	FontItem_4D.png
N	item	7	FontItem_4E.png
O	item	8	FontItem_4F.png
P	item	7	FontItem_50.png
Q	item	8	FontItem_51.png
R	item	7	FontItem_52.png
S	item	7	FontItem_53.png
T	item	8	FontItem_54.png
U	item	7	FontItem_55.png
V	item	8	FontItem_56.png
W	item	8	FontItem_57.png
X	item	6	FontItem_58.png
Y	item	6	FontItem_59.png
Z	item	7	FontItem_5A.png
a	item	6	FontItem_61.png
b	item	6	FontItem_62.png
c	item	6	FontItem_63.png
d	item	6	FontItem_64.png
e	item	6	FontItem_65.png
f	item	5	FontItem_66.png
g	item	6	FontItem_67.png
h	item	6	FontItem_68.png
i	item	2	FontItem_69.png
j	item	5	FontItem_6A.png
k	item	6	FontItem_6B.png
l	item	2	FontItem_6C.png
m	item	8	FontItem_6D.png
n	item	6	FontItem_6E.png
o	item	6	FontItem_6F.png
p	item	6	FontItem_70.png
q	item	6	FontItem_71.png
r	item	5	FontItem_72.png
s	item	6	FontItem_73.png
t	item	5	FontItem_74.png
u	item	6	FontItem_75.png
v	item	6	FontItem_76.png
w	item	8	FontItem_77.png
x	item	6	FontItem_78.png
y	item	6	FontItem_79.png
z	item	6	FontItem_7A.png
ã	item	6	FontItem_E3.png
ä	item	6	FontItem_E4.png
ö	item	6	FontItem_F6.png
 	text	3	FontText_20.png
!	text	2	FontText_21.png
,	text	3	FontText_2C.png
-	text	6	FontText_2D.png
.	text	3	FontText_2E.png
1	text	4	FontText_31.png
:	text	3	FontText_3A.png
;	text	3	FontText_3B.png
?	text	6	FontText_3F.png
A	text	8	FontText_41.png
B	text	7	FontText_42.png
C	text	7	FontText_43.png
D	text	7	FontText_44.png
E	text	6	FontText_45.png
F	text	6	FontText_46.png
G	text	7	FontText_47.png
H	text	6	FontText_48.png
I	text	4	FontText_49.png
J	text	6	FontText_4A.png
K	text	8	FontText_4B.png
L	text	6	FontText_4C.png
M	text	8	FontText_4D.png
N	text	7	FontText_4E.png
O	text	8	FontText_4F.png
P	text	7	FontText_50.png
Q	text	8	FontText_51.png
R	text	7	FontText_52.png
S	text	7	FontText_53.png
T	text	8	FontText_54.png
U	text	7	FontText_55.png
V	text	8	FontText_56.png
W	text	8	FontText_57.png
X	text	6	FontText_58.png
Y	text	6	FontText_59.png
Z	text	7	FontText_5A.png
a	text	6	FontText_61.png
b	text	6	FontText_62.png
c	text	6	FontText_63.png
d	text	6	FontText_64.png
e	text	6	FontText_65.png
f	text	5	FontText_66.png
g	text	6	FontText_67.png
h	text	6	FontText_68.png
i	text	2	FontText_69.png
j	text	5	FontText_6A.png
k	text	6	FontText_6B.png
l	text	2	FontText_6C.png
m	text	8	FontText_6D.png
n	text	6	FontText_6E.png
o	text	6	FontText_6F.png
p	text	6	FontText_70.png
q	text	6	FontText_71.png
r	text	5	FontText_72.png
s	text	6	FontText_73.png
t	text	5	FontText_74.png
u	text	6	FontText_75.png
v	text	6	FontText_76.png
w	text	8	FontText_77.png
x	text	6	FontText_78.png
y	text	6	FontText_79.png
z	text	6	FontText_7A.png
ã	text	6	FontText_E3.png
ä	text	6	FontText_E4.png
ö	text	6	FontText_F6.png
